timestamp,availability_pct,latency_p95_ms,data_completeness_pct,freshness_lag_sec,composite_status,z_score,z_flag,cusum_pos,cusum_neg,cusum_flag,any_alert
2024-01-01 00:00:00,99.8995,38.53575,99.497,46.53325,Amber,,0,0.0,0.0,0,0
2024-01-01 01:00:00,99.83500000000001,46.4345,99.5275,50.0025,Amber,,0,0.0249,0.0,0,0
2024-01-01 02:00:00,99.73275,46.6465,99.6965,54.314750000000004,Green,-1.0663917772908402,0,0.0,0.0,0,0
2024-01-01 03:00:00,99.42824999999999,46.9255,99.787,54.343,Amber,-1.416513695962825,0,0.0,0.0,0,0
2024-01-01 04:00:00,99.5635,57.3125,99.29124999999999,58.2085,Amber,-0.6598124887616337,0,0.0,0.0,0,0
2024-01-01 05:00:00,99.792,69.4945,99.50375,59.1045,Amber,0.46735110645789496,0,0.0,0.0,0,0
2024-01-01 06:00:00,99.7875,76.72800000000001,99.70824999999999,60.7675,Amber,0.6121456116865844,0,0.0,0.0,0,0
2024-01-01 07:00:00,99.80075,90.65025,99.52625,60.25775,Amber,0.7581636847685564,0,0.0,0.0,0,0
2024-01-01 08:00:00,99.67225,100.369,99.53875,54.60725,Amber,-0.011789414241823728,0,0.0,0.0,0,0
2024-01-01 09:00:00,99.5255,96.0375,99.5785,54.421,Red,-1.3402460418008042,0,0.0,0.0,0,1
2024-01-01 10:00:00,99.83025,112.1465,99.49549999999999,53.63175,Amber,0.8239523752702664,0,0.0201,0.0,0,0
2024-01-01 11:00:00,99.4865,121.197,99.57,47.13125,Amber,-1.3301510772966272,0,0.0,0.0,0,0
2024-01-01 12:00:00,99.48575,116.984,99.41149999999999,45.2765,Amber,-0.9409195683540483,0,0.0,0.0,0,0
2024-01-01 13:00:00,99.79825,116.57975,99.04875,39.439750000000004,Amber,1.0553975650450294,0,0.0,0.0,0,0
2024-01-01 14:00:00,99.5455,110.12875,99.59875,37.37475,Amber,-0.4187878629877936,0,0.0,0.0,0,0
2024-01-01 15:00:00,99.09775,108.7225,99.4855,36.14175,Amber,-1.6684612387055995,0,0.0,0.3002,0,0
2024-01-01 16:00:00,99.78775,99.7725,99.456,29.590249999999997,Amber,0.9904734934468006,0,0.0,0.0,0,0
2024-01-01 17:00:00,99.56425,95.124,99.39525,28.97775,Green,0.0692489990294267,0,0.0,0.0,0,0
2024-01-01 18:00:00,99.32300000000001,72.8805,99.73525000000001,32.2735,Amber,-0.7231927351540308,0,0.0,0.0749,0,0
2024-01-01 19:00:00,99.1565,68.06925,99.806,34.9905,Amber,-0.9617554734808965,0,0.0,0.3164,0,0
2024-01-01 20:00:00,99.5435,58.55325,99.69749999999999,34.78175,Amber,0.4940064562269291,0,0.0,0.1708,0,0
2024-01-01 21:00:00,99.502,51.24575,99.47325,36.306000000000004,Amber,0.10364721160767171,0,0.0,0.0667,0,0
2024-01-01 22:00:00,99.68575,48.7,99.46950000000001,40.606,Amber,1.1720455455673229,0,0.0,0.0,0,0
2024-01-01 23:00:00,99.29075,45.32325,99.554,39.72625,Amber,-0.6505007684669603,0,0.0,0.1072,0,0
2024-01-02 00:00:00,99.77025,33.9695,99.7365,43.6375,Green,1.1980113948987547,0,0.0,0.0,0,0
2024-01-02 01:00:00,99.43275,39.39375,99.66375,54.2675,Amber,-0.6061803201674995,0,0.0,0.0,0,0
2024-01-02 02:00:00,99.9385,45.045500000000004,99.376,57.19275,Amber,1.4061650635757508,0,0.1284,0.0,0,0
2024-01-02 03:00:00,99.70075,54.1575,99.39699999999999,57.144,Amber,0.27329526334868876,0,0.019,0.0,0,0
2024-01-02 04:00:00,99.96775,61.4615,99.71275,58.917,Green,1.0439851057306917,0,0.1767,0.0,0,0
2024-01-02 05:00:00,99.8455,69.3895,99.45075,58.5505,Amber,0.35553498302434916,0,0.2121,0.0,0,0
2024-01-02 06:00:00,99.7095,77.12525,99.5815,60.6,Amber,-0.2848360821613045,0,0.1115,0.0,0,0
2024-01-02 07:00:00,99.792,81.68275,99.355,56.201,Amber,-0.2986382193256138,0,0.0933,0.0,0,0
2024-01-02 08:00:00,99.70524999999999,100.972,99.557,57.8795,Amber,-0.7688099677779254,0,0.0,0.0,0,0
2024-01-02 09:00:00,99.701,111.24475000000001,99.48575,54.724000000000004,Amber,-0.8095829474464148,0,0.0,0.0,0,0
2024-01-02 10:00:00,99.57775,116.3295,99.3535,52.9785,Amber,-1.5751193269024084,0,0.0,0.0,0,0
2024-01-02 11:00:00,99.65950000000001,118.14099999999999,99.487,48.39025,Green,-0.44612868702087644,0,0.0,0.0,0,0
2024-01-02 12:00:00,99.46325,120.51075,99.449,41.93875,Amber,-1.6235975846576258,0,0.0,0.0,0,0
2024-01-02 13:00:00,99.7715,117.3065,99.11525,39.64775,Amber,1.1372852072964117,0,0.0,0.0,0,0
2024-01-02 14:00:00,99.417,104.61125,99.48474999999999,37.6305,Amber,-1.309879145028872,0,0.0,0.0,0,0
2024-01-02 15:00:00,99.589,105.26225,99.3025,33.625750000000004,Green,0.07231993285017624,0,0.0,0.0,0,0
2024-01-02 16:00:00,99.44575,100.9485,99.203,33.20575,Amber,-0.7981698881016861,0,0.0,0.0,0,0
2024-01-02 17:00:00,99.8295,87.83725,99.658,25.803,Green,1.3741056126663078,0,0.0194,0.0,0,0
2024-01-02 18:00:00,99.06425,79.2285,99.74775,26.698500000000003,Amber,-1.6350274941624132,0,0.0,0.3337,0,0
2024-01-02 19:00:00,99.59100000000001,74.18275,99.52074999999999,30.5785,Amber,0.3991738592240432,0,0.0,0.1406,0,0
2024-01-02 20:00:00,99.69425,54.88275,99.39224999999999,28.992,Amber,0.601515793864554,0,0.0,0.0,0,0
2024-01-02 21:00:00,99.408,53.9005,99.35900000000001,35.8785,Amber,-0.36539931167109857,0,0.0,0.0,0,0
2024-01-02 22:00:00,99.68775,39.2585,99.35925,37.78725,Amber,0.5179476592278428,0,0.0,0.0,0,0
2024-01-02 23:00:00,99.38025,47.00775,99.4015,38.481750000000005,Amber,-0.37720766083414387,0,0.0,0.0177,0,0
2024-01-03 00:00:00,99.67025,36.8245,99.15025,47.494749999999996,Amber,0.6883994291668151,0,0.0,0.0,0,0
2024-01-03 01:00:00,99.57849999999999,39.7985,99.56075,47.86875,Amber,0.06077589991826756,0,0.0,0.0,0,0
2024-01-03 02:00:00,100.0,40.23825,99.55725,55.221000000000004,Amber,1.6770014430954292,0,0.1899,0.0,0,0
2024-01-03 03:00:00,99.67,44.85625,99.58975,57.95375,Amber,0.02761472637853527,0,0.0498,0.0,0,0
2024-01-03 04:00:00,100.0,57.40675,99.38975,58.543,Amber,1.1629133297215597,0,0.2397,0.0,0,0
2024-01-03 05:00:00,99.96000000000001,66.463,99.6345,60.61475,Amber,0.7587349865131032,0,0.3896,0.0,0,0
